person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
22,female,master,71948.0,0,rent,35000.0,personal,16.02,0.49,3.0,561,no,1
21,female,high school,12282.0,0,own,1000.0,education,11.14,0.08,2.0,504,yes,0
25,female,high school,12438.0,3,mortgage,5500.0,medical,12.87,0.44,3.0,635,no,1
23,female,bachelor,79753.0,0,rent,35000.0,medical,15.23,0.44,2.0,675,no,1
24,male,master,66135.0,1,rent,35000.0,medical,14.27,0.53,4.0,586,no,1
21,female,high school,12951.0,0,own,2500.0,venture,7.14,0.19,2.0,532,no,1
26,female,bachelor,93471.0,1,rent,35000.0,education,12.42,0.37,3.0,701,no,1
24,female,high school,95550.0,5,rent,35000.0,medical,11.11,0.37,4.0,585,no,1
24,female,associate,100684.0,3,rent,35000.0,personal,8.9,0.35,2.0,544,no,1
21,female,high school,12739.0,0,own,1600.0,venture,14.74,0.13,3.0,640,no,1
22,female,high school,102985.0,0,rent,35000.0,venture,10.37,0.34,4.0,621,no,1
21,female,associate,13113.0,0,own,4500.0,homeimprovement,8.63,0.34,2.0,651,no,1
23,male,bachelor,114860.0,3,rent,35000.0,venture,7.9,0.3,2.0,573,no,1
26,male,master,130713.0,0,rent,35000.0,education,18.39,0.27,4.0,708,no,1
23,female,associate,138998.0,0,rent,35000.0,education,7.9,0.25,4.0,583,no,0
23,female,master,600891.0,5,mortgage,30000.0,debtconsolidation,10.65,0.05,3.0,670,yes,0
23,male,bachelor,144943.0,0,rent,35000.0,education,7.9,0.24,4.0,663,no,0
23,female,high school,111369.0,0,rent,35000.0,medical,20.0,0.31,4.0,694,no,1
23,male,bachelor,136628.0,0,rent,35000.0,debtconsolidation,18.25,0.26,4.0,709,no,1
24,female,master,14283.0,1,mortgage,1750.0,education,10.99,0.12,2.0,679,no,1
25,male,bachelor,195718.0,0,rent,35000.0,venture,7.49,0.18,4.0,684,yes,0
25,male,high school,165792.0,4,rent,34800.0,personal,16.77,0.21,2.0,662,no,0
22,female,master,79255.0,0,rent,34000.0,education,17.58,0.43,4.0,691,no,1
24,female,bachelor,13866.0,0,own,1500.0,personal,7.29,0.11,3.0,600,yes,0
22,male,bachelor,97420.0,1,rent,33950.0,personal,14.54,0.35,4.0,691,no,1
24,female,high school,82443.0,0,rent,33000.0,homeimprovement,12.68,0.4,3.0,654,no,1
21,female,associate,14288.0,0,mortgage,4575.0,venture,17.74,0.32,3.0,626,no,1
23,male,high school,14293.0,0,own,1400.0,personal,9.32,0.1,3.0,607,no,0
24,female,bachelor,79054.0,1,rent,32500.0,homeimprovement,9.99,0.41,3.0,700,no,1
21,female,bachelor,14988.0,0,other,4000.0,education,12.84,0.27,2.0,553,no,1
21,male,high school,14858.0,0,own,2000.0,medical,11.12,0.13,3.0,589,no,1
25,male,bachelor,144855.0,1,rent,32000.0,venture,6.62,0.22,2.0,586,yes,0
26,male,bachelor,114645.0,2,rent,31050.0,homeimprovement,14.17,0.27,3.0,681,no,1
25,female,high school,368115.0,3,rent,24250.0,debtconsolidation,13.85,0.07,3.0,567,yes,0
26,female,associate,361076.0,1,mortgage,7800.0,medical,13.49,0.02,4.0,669,no,0
21,male,associate,15150.0,0,own,2500.0,education,7.51,0.17,4.0,600,no,1
22,female,bachelor,58868.0,0,rent,30000.0,education,18.39,0.51,2.0,606,no,1
24,male,high school,78026.0,3,rent,30000.0,debtconsolidation,14.54,0.38,3.0,582,no,1
25,male,bachelor,90785.0,4,rent,30000.0,homeimprovement,16.89,0.33,4.0,649,no,1
23,female,high school,86811.0,0,rent,30000.0,debtconsolidation,11.01,0.35,4.0,602,no,1
26,male,bachelor,75503.0,5,rent,30000.0,medical,17.99,0.4,2.0,616,no,1
24,female,high school,15082.0,0,own,2500.0,venture,12.69,0.17,3.0,631,no,1
26,male,bachelor,361293.0,5,mortgage,20000.0,venture,7.88,0.06,4.0,684,yes,0
23,male,high school,361547.0,0,own,24250.0,education,19.41,0.07,2.0,637,yes,0
26,male,master,360680.0,5,own,10000.0,homeimprovement,10.38,0.03,4.0,649,no,0
26,male,bachelor,360977.0,5,mortgage,25000.0,education,15.33,0.07,3.0,695,yes,0
